Date,Bar Name,Brand Name,Consumed (ml)
2024-01-01,Executive Lounge,Chartreuse Herbal Liqueur,53.5
2024-01-02,Executive Lounge,Chartreuse Herbal Liqueur,30.1
2024-01-03,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-04,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-05,Executive Lounge,Chartreuse Herbal Liqueur,9.3
2024-01-06,Executive Lounge,Chartreuse Herbal Liqueur,35.6
2024-01-07,Executive Lounge,Chartreuse Herbal Liqueur,29.0
2024-01-08,Executive Lounge,Chartreuse Herbal Liqueur,39.2
2024-01-09,Executive Lounge,Chartreuse Herbal Liqueur,69.3
2024-01-10,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-11,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-12,Executive Lounge,Chartreuse Herbal Liqueur,5.1
2024-01-13,Executive Lounge,Chartreuse Herbal Liqueur,23.4
2024-01-14,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-15,Executive Lounge,Chartreuse Herbal Liqueur,10.2
2024-01-16,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-17,Executive Lounge,Chartreuse Herbal Liqueur,18.9
2024-01-18,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-19,Executive Lounge,Chartreuse Herbal Liqueur,36.9
2024-01-20,Executive Lounge,Chartreuse Herbal Liqueur,10.3
2024-01-21,Executive Lounge,Chartreuse Herbal Liqueur,23.4
2024-01-22,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-23,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-24,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-25,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-26,Executive Lounge,Chartreuse Herbal Liqueur,21.4
2024-01-27,Executive Lounge,Chartreuse Herbal Liqueur,0.2
2024-01-28,Executive Lounge,Chartreuse Herbal Liqueur,4.6
2024-01-29,Executive Lounge,Chartreuse Herbal Liqueur,37.3
2024-01-30,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-01-31,Executive Lounge,Chartreuse Herbal Liqueur,44.3
2024-02-01,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-02,Executive Lounge,Chartreuse Herbal Liqueur,38.5
2024-02-03,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-04,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-05,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-06,Executive Lounge,Chartreuse Herbal Liqueur,9.8
2024-02-07,Executive Lounge,Chartreuse Herbal Liqueur,42.0
2024-02-08,Executive Lounge,Chartreuse Herbal Liqueur,46.8
2024-02-09,Executive Lounge,Chartreuse Herbal Liqueur,37.6
2024-02-10,Executive Lounge,Chartreuse Herbal Liqueur,27.4
2024-02-11,Executive Lounge,Chartreuse Herbal Liqueur,39.2
2024-02-12,Executive Lounge,Chartreuse Herbal Liqueur,14.1
2024-02-13,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-14,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-15,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-16,Executive Lounge,Chartreuse Herbal Liqueur,56.6
2024-02-17,Executive Lounge,Chartreuse Herbal Liqueur,51.1
2024-02-18,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-19,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-20,Executive Lounge,Chartreuse Herbal Liqueur,32.6
2024-02-21,Executive Lounge,Chartreuse Herbal Liqueur,0.0
2024-02-22,Executive Lounge,Chartreuse Herbal Liqueur,38.4
2024-02-23,Executive Lounge,Chartreuse Herbal Liqueur,14.6
