Transaction ID,Date Time Served,Bar Name,Brand Name,Opening Balance,Purchase,Consumed,Closing Balance
TXN-10001,2024-01-01 22:30:00,Main Lounge,Grey Goose Vodka,11000.0,0.0,1309.6,9690.4
TXN-10002,2024-01-02 20:30:00,Main Lounge,Grey Goose Vodka,9690.4,0.0,1794.5,7895.9
TXN-10003,2024-01-03 23:00:00,Main Lounge,Grey Goose Vodka,7895.9,0.0,1687.0,6208.9
TXN-10004,2024-01-04 21:15:00,Main Lounge,Grey Goose Vodka,6208.9,0.0,2019.8,4189.1
TXN-10005,2024-01-05 21:15:00,Main Lounge,Grey Goose Vodka,4189.1,0.0,3167.7,1021.4
TXN-10006,2024-01-06 18:30:00,Main Lounge,Grey Goose Vodka,1021.4,12000.0,3193.0,9813.4
TXN-10007,2024-01-07 23:15:00,Main Lounge,Grey Goose Vodka,9828.4,0.0,1099.2,8729.2
TXN-10008,2024-01-08 20:45:00,Main Lounge,Grey Goose Vodka,8729.2,0.0,1703.0,7026.2
TXN-10009,2024-01-09 20:30:00,Main Lounge,Grey Goose Vodka,7026.2,0.0,2724.6,4301.6
TXN-10010,2024-01-10 19:45:00,Main Lounge,Grey Goose Vodka,4301.6,0.0,1739.4,2562.2
TXN-10011,2024-01-11 19:00:00,Main Lounge,Grey Goose Vodka,2562.2,0.0,1603.3,958.9
TXN-10012,2024-01-12 21:30:00,Main Lounge,Grey Goose Vodka,958.9,12000.0,3734.4,9224.5
TXN-10013,2024-01-13 18:45:00,Main Lounge,Grey Goose Vodka,9224.5,0.0,3946.3,5278.2
TXN-10014,2024-01-14 21:15:00,Main Lounge,Grey Goose Vodka,5278.2,0.0,1729.8,3548.4
TXN-10015,2024-01-15 22:30:00,Main Lounge,Grey Goose Vodka,3548.4,0.0,933.0,2615.4
TXN-10016,2024-01-16 21:15:00,Main Lounge,Grey Goose Vodka,2615.4,0.0,1399.3,1216.1
TXN-10017,2024-01-17 23:30:00,Main Lounge,Grey Goose Vodka,1216.1,18000.0,1877.8,17338.3
TXN-10018,2024-01-18 23:45:00,Main Lounge,Grey Goose Vodka,17338.3,0.0,1481.9,15856.4
TXN-10019,2024-01-19 19:00:00,Main Lounge,Grey Goose Vodka,15856.4,0.0,3647.3,12209.1
TXN-10020,2024-01-20 21:00:00,Main Lounge,Grey Goose Vodka,12209.1,0.0,3731.9,8477.2
TXN-10021,2024-01-21 18:45:00,Main Lounge,Grey Goose Vodka,8477.2,0.0,1707.5,6769.7
TXN-10022,2024-01-22 20:30:00,Main Lounge,Grey Goose Vodka,6769.7,0.0,1384.8,5384.9
TXN-10023,2024-01-23 22:15:00,Main Lounge,Grey Goose Vodka,5384.9,0.0,2029.1,3355.8
TXN-10024,2024-01-24 18:45:00,Main Lounge,Grey Goose Vodka,3355.8,0.0,1983.7,1372.1
TXN-10025,2024-01-25 23:45:00,Main Lounge,Grey Goose Vodka,1372.1,12000.0,1710.7,11661.4
TXN-10026,2024-01-26 21:45:00,Main Lounge,Grey Goose Vodka,11661.4,0.0,3875.9,7785.5
TXN-10027,2024-01-27 23:30:00,Main Lounge,Grey Goose Vodka,7785.5,0.0,3640.3,4145.2
TXN-10028,2024-01-28 19:30:00,Main Lounge,Grey Goose Vodka,4145.2,0.0,793.6,3351.6
TXN-10029,2024-01-29 19:15:00,Main Lounge,Grey Goose Vodka,3351.6,0.0,1543.7,1807.9
TXN-10030,2024-01-30 18:45:00,Main Lounge,Grey Goose Vodka,1807.9,6000.0,2271.9,5536.0
TXN-10031,2024-01-31 22:30:00,Main Lounge,Grey Goose Vodka,5536.0,0.0,2376.4,3159.6
TXN-10032,2024-02-01 21:00:00,Main Lounge,Grey Goose Vodka,3159.6,0.0,1824.2,1335.4
TXN-10033,2024-02-02 19:00:00,Main Lounge,Grey Goose Vodka,1335.4,12000.0,3335.5,9999.9
TXN-10034,2024-02-03 22:15:00,Main Lounge,Grey Goose Vodka,9999.9,0.0,3237.8,6762.1
TXN-10035,2024-02-04 23:30:00,Main Lounge,Grey Goose Vodka,6762.1,0.0,885.5,5876.6
TXN-10036,2024-02-05 21:00:00,Main Lounge,Grey Goose Vodka,5876.6,0.0,1455.9,4420.7
TXN-10037,2024-02-06 23:00:00,Main Lounge,Grey Goose Vodka,4420.7,0.0,1240.6,3180.1
TXN-10038,2024-02-07 18:30:00,Main Lounge,Grey Goose Vodka,3180.1,0.0,1410.9,1769.2
TXN-10039,2024-02-08 18:30:00,Main Lounge,Grey Goose Vodka,1769.2,6000.0,1562.3,6206.9
TXN-10040,2024-02-09 20:15:00,Main Lounge,Grey Goose Vodka,6206.9,0.0,3325.3,2881.6
TXN-10041,2024-02-10 23:00:00,Main Lounge,Grey Goose Vodka,2881.6,0.0,2881.6,0.0
TXN-10042,2024-02-11 23:30:00,Main Lounge,Grey Goose Vodka,0.0,12000.0,896.4,11103.6
TXN-10043,2024-02-12 18:30:00,Main Lounge,Grey Goose Vodka,11103.6,0.0,687.0,10416.6
TXN-10044,2024-02-13 19:45:00,Main Lounge,Grey Goose Vodka,10416.6,0.0,1547.9,8868.7
TXN-10045,2024-02-14 21:15:00,Main Lounge,Grey Goose Vodka,8868.7,0.0,1472.5,7396.2
TXN-10046,2024-02-15 21:30:00,Main Lounge,Grey Goose Vodka,7396.2,0.0,1697.2,5699.0
TXN-10047,2024-02-16 22:45:00,Main Lounge,Grey Goose Vodka,5699.0,0.0,3079.2,2619.8
TXN-10048,2024-02-17 23:30:00,Main Lounge,Grey Goose Vodka,2619.8,0.0,2619.8,0.0
TXN-10049,2024-02-18 23:45:00,Main Lounge,Grey Goose Vodka,0.0,6000.0,1793.2,4206.8
TXN-10050,2024-02-19 21:45:00,Main Lounge,Grey Goose Vodka,4206.8,0.0,1807.3,2399.5
TXN-10051,2024-02-20 21:00:00,Main Lounge,Grey Goose Vodka,2399.5,0.0,854.4,1545.1
TXN-10052,2024-02-21 19:45:00,Main Lounge,Grey Goose Vodka,1545.1,6000.0,1591.2,5953.9
TXN-10053,2024-02-22 23:15:00,Main Lounge,Grey Goose Vodka,5953.9,0.0,1383.3,4570.6
TXN-10054,2024-02-23 21:45:00,Main Lounge,Grey Goose Vodka,4570.6,0.0,3029.1,1541.5
TXN-10055,2024-02-24 23:45:00,Main Lounge,Grey Goose Vodka,1541.5,6000.0,3535.5,4006.0
TXN-10056,2024-02-25 20:30:00,Main Lounge,Grey Goose Vodka,4006.0,0.0,2154.7,1851.3
TXN-10057,2024-02-26 23:45:00,Main Lounge,Grey Goose Vodka,1851.3,18000.0,997.2,18854.1
TXN-10058,2024-02-27 21:30:00,Main Lounge,Grey Goose Vodka,18854.1,0.0,959.2,17894.9
TXN-10059,2024-02-28 18:30:00,Main Lounge,Grey Goose Vodka,17894.9,0.0,1948.6,15946.3
TXN-10060,2024-02-29 19:45:00,Main Lounge,Grey Goose Vodka,15946.3,0.0,2373.8,13572.5
TXN-10061,2024-03-01 22:00:00,Main Lounge,Grey Goose Vodka,13572.5,0.0,3366.9,10205.6
TXN-10062,2024-03-02 21:00:00,Main Lounge,Grey Goose Vodka,10205.6,0.0,2551.8,7653.8
TXN-10063,2024-03-03 20:00:00,Main Lounge,Grey Goose Vodka,7653.8,0.0,954.8,6699.0
TXN-10064,2024-03-04 21:30:00,Main Lounge,Grey Goose Vodka,6699.0,0.0,1548.5,5150.5
TXN-10065,2024-03-05 23:15:00,Main Lounge,Grey Goose Vodka,5150.5,0.0,936.7,4213.8
TXN-10066,2024-03-06 23:45:00,Main Lounge,Grey Goose Vodka,4213.8,0.0,1208.8,3005.0
TXN-10067,2024-03-07 21:30:00,Main Lounge,Grey Goose Vodka,3005.0,0.0,2110.3,894.7
TXN-10068,2024-03-08 22:45:00,Main Lounge,Grey Goose Vodka,894.7,6000.0,3676.8,3217.9
TXN-10069,2024-03-09 22:15:00,Main Lounge,Grey Goose Vodka,3217.9,0.0,2944.7,273.2
TXN-10070,2024-03-10 21:00:00,Main Lounge,Grey Goose Vodka,273.2,6000.0,1779.5,4493.7
TXN-10071,2024-03-11 20:45:00,Main Lounge,Grey Goose Vodka,4493.7,0.0,1501.9,2991.8
TXN-10072,2024-03-12 22:00:00,Main Lounge,Grey Goose Vodka,2991.8,0.0,1715.4,1276.4
TXN-10073,2024-03-13 18:15:00,Main Lounge,Grey Goose Vodka,1276.4,18000.0,1282.7,17993.7
TXN-10074,2024-03-14 19:30:00,Main Lounge,Grey Goose Vodka,17993.7,0.0,1189.8,16803.9
TXN-10075,2024-03-15 23:30:00,Main Lounge,Grey Goose Vodka,16803.9,0.0,3029.8,13774.1
TXN-10076,2024-03-16 20:15:00,Main Lounge,Grey Goose Vodka,13774.1,0.0,3501.9,10272.2
TXN-10077,2024-03-17 20:15:00,Main Lounge,Grey Goose Vodka,10272.2,0.0,1722.8,8549.4
TXN-10078,2024-03-18 22:15:00,Main Lounge,Grey Goose Vodka,8549.4,0.0,1815.2,6734.2
TXN-10079,2024-03-19 22:45:00,Main Lounge,Grey Goose Vodka,6734.2,0.0,1794.3,4939.9
TXN-10080,2024-03-20 18:45:00,Main Lounge,Grey Goose Vodka,4939.9,0.0,1793.8,3146.1
TXN-10081,2024-03-21 23:45:00,Main Lounge,Grey Goose Vodka,3146.1,0.0,1819.8,1326.3
TXN-10082,2024-03-22 21:15:00,Main Lounge,Grey Goose Vodka,1326.3,18000.0,3948.7,15377.6
TXN-10083,2024-03-23 18:15:00,Main Lounge,Grey Goose Vodka,15377.6,0.0,3507.1,11870.5
TXN-10084,2024-03-24 22:15:00,Main Lounge,Grey Goose Vodka,11870.5,0.0,1170.6,10699.9
TXN-10085,2024-03-25 23:30:00,Main Lounge,Grey Goose Vodka,10699.9,0.0,1371.4,9328.5
TXN-10086,2024-03-26 21:00:00,Main Lounge,Grey Goose Vodka,9328.5,0.0,1596.5,7732.0
TXN-10087,2024-03-27 22:30:00,Main Lounge,Grey Goose Vodka,7732.0,0.0,2270.0,5462.0
TXN-10088,2024-03-28 22:45:00,Main Lounge,Grey Goose Vodka,5462.0,0.0,1618.5,3843.5
TXN-10089,2024-03-29 21:45:00,Main Lounge,Grey Goose Vodka,3843.5,0.0,3843.5,0.0
